Movie Name	Released Date	Sales (Million USD)	Sales Value	Studio	Genre
The Giver	8/15/2014	13.55	4.516666667	The Weinstein Company	Fantasy
"As Above, So Below"	8/15/2014	15.044	5.014666667	Universal Pictures	Drama
The Expendables 3	8/15/2014	45	15	Lionsgate Entertainment	Action
If I Stay	8/22/2014	8.676	2.892	Warner Bros.	Drama
Sin City: A Dame to Kill For	8/22/2014	13.3	4.433333333	The Weinstein Company	Action
When the Game Stands Tall	8/22/2014	19.242	6.414	Sony Pictures Entertainment	Drama
The Loft	8/29/2014	7.992	2.664	Universal Pictures	Drama
Jessabelle	8/29/2014	2.398	0.799333333	Lionsgate Entertainment	Horror
The Green Inferno	9/5/2014	0.013	0.004333333	Open Road Films	Horror
Search Party	9/12/2014	14.013	4.671	Universal Pictures	Comedy
This Is Where I Leave You	9/12/2014	12.33	4.11	Warner Bros.	Comedy
No Good Deed	9/12/2014	10.912	3.637333333	Sony Pictures Entertainment	Drama
Dolphin Tale 2	9/19/2014	8.49	2.83	Warner Bros.	Drama
The Maze Runner	9/19/2014	29.6	9.866666667	Twentieth Century Fox Film Corporation	Action
A Walk Among the Tombstones	9/19/2014	7.404	2.468	Universal Pictures	Action
The Equalizer	9/26/2014	11.51	3.836666667	Sony Pictures Entertainment	Action
The Boxtrolls	9/26/2014	6.74	2.246666667	Focus Features	Animation
Laggies	9/26/2014	4.435	1.478333333	Independent	Drama
Left Behind	10/3/2014	27	9	Independent	Action
Gone Girl	10/3/2014	13.576	4.525333333	Twentieth Century Fox Film Corporation	Drama
Kill the Messenger	10/10/2014	6.09	2.03	Focus Features	Drama
The Interview	10/10/2014	32.481	10.827	Sony Pictures Entertainment	Comedy
"Alexander and the Terrible, Horrible, No Good, Very Bad Day"	10/10/2014	9.583	3.194333333	Walt Disney Studios	Comedy
Addicted	10/10/2014	12.129	4.043	Lionsgate Entertainment	Drama
The Judge	10/10/2014	10.972	3.657333333	Warner Bros.	Drama
Dracula Untold	10/17/2014	18.29	6.096666667	Universal Pictures	Fantasy
The Book of Life	10/17/2014	5.95	1.983333333	Twentieth Century Fox Film Corporation	Animation
The Best of Me	10/17/2014	11.279	3.759666667	Relativity Media	Drama
Ouija	10/24/2014	10.912	3.637333333	Universal Pictures	Action
St. Vincent	10/24/2014	8.791	2.930333333	The Weinstein Company	Comedy
Paranormal Activity 5	10/24/2014	29.16	9.72	Paramount Pictures	Horror
Kingsman:The Secret Service	10/24/2014	27	9	Twentieth Century Fox Film Corporation	Action
The Secret Service	10/24/2014	27	9	Twentieth Century Fox Film Corporation	Action
St. Vincent de Van Nuys	10/24/2014	8.052	2.684	The Weinstein Company	Comedy
Big Hero 6	11/7/2014	6.93	2.31	Walt Disney Studios	Animation
Interstellar	11/7/2014	63.657	21.219	Paramount Pictures	SciFi
Fury	11/14/2014	11.189	3.729666667	Sony Pictures Entertainment	Action
Dumb and Dumber To	11/14/2014	48.075	16.025	Universal Pictures	Comedy
The Hunger Games: Mockingjay - Part 1	11/21/2014	7.9	2.633333333	Lionsgate Entertainment	Action
McFarland	11/21/2014	10.942	3.647333333	Walt Disney Studios	Drama
Horrible Bosses 2	11/26/2014	17.68	5.893333333	Warner Bros.	Comedy
The Penguins of Madagascar	11/26/2014	14.07	4.69	Twentieth Century Fox Film Corporation	Animation
Exodus:Gods and Kings	12/12/2014	15.71	5.236666667	Twentieth Century Fox Film Corporation	Drama
Paddington	12/12/2014	14.304	4.768	The Weinstein Company	Comedy
The Hobbit: The Battle of the Five Armies	12/17/2014	70.04	23.34666667	Warner Bros.	Fantasy
Night at the Museum:Secret of the Tomb	12/19/2014	30.341	10.11366667	Twentieth Century Fox Film Corporation	Comedy
Annie	12/19/2014	21.7	7.233333333	Sony Pictures Entertainment	Drama
Night at the Museum 3	12/19/2014	30.011	10.00366667	Twentieth Century Fox Film Corporation	Comedy
Into the Woods	12/25/2014	78.12	26.04	Walt Disney Studios	Fantasy
Unbroken	12/25/2014	11.455	3.818333333	Universal Pictures	Drama
Hot Tub Time Machine 2	12/25/2014	31.859	10.61966667	Paramount Pictures	Comedy
Amityville	1/2/2015	11.116	3.705333333	The Weinstein Company	Horror
Taken 3	1/9/2015	31.926	10.642	Twentieth Century Fox Film Corporation	Action
Inherent Vice	1/9/2015	14.73	4.91	Warner Bros.	Drama
Kitchen Sink	1/9/2015	31.448	10.48266667	Sony Pictures Entertainment	Comedy
Norm of the North	1/16/2015	12.02	4.006666667	Lionsgate Entertainment	Animation
The Wedding Ringer	1/16/2015	31.448	10.48266667	Sony Pictures Entertainment	Comedy
The Man from U.N.C.L.E.	1/16/2015	11.51	3.836666667	Warner Bros.	Action
The Boy Next Door	1/23/2015	10.912	3.637333333	Universal Pictures	Drama
Project Almanac	1/30/2015	15.8	5.266666667	Paramount Pictures	SciFi
Lazarus	1/30/2015	8.832	2.944	Lionsgate Entertainment	Horror
Run All Night	2/6/2015	11.51	3.836666667	Warner Bros.	Action
Seventh Son	2/6/2015	19.75	6.583333333	Universal Pictures	Fantasy
SpongeBob SquarePants 2	2/13/2015	29.82	9.94	Paramount Pictures	Animation
Fifty Shades of Grey	2/13/2015	32.222	10.74066667	Focus Features	Drama
Poltergeist	2/13/2015	22.2	7.4	Twentieth Century Fox Film Corporation	Horror
Jane Got a Gun	2/20/2015	0.456	0.152	Relativity Media	Drama
Selfless	2/27/2015	11.419	3.806333333	Focus Features	Drama
Focus	2/27/2015	30.034	10.01133333	Warner Bros.	Comedy
The Best Exotic Marigold Hotel 2	3/6/2015	28.131	9.377	Twentieth Century Fox Film Corporation	Comedy
Business or Pleasure	3/6/2015	31.448	10.48266667	Twentieth Century Fox Film Corporation	Comedy
Unfinished Business	3/6/2015	11.885	3.961666667	Twentieth Century Fox Film Corporation	Comedy
Chappie	3/6/2015	10	3.333333333	Sony Pictures Entertainment	Action
Cinderella	3/13/2015	19.12	6.373333333	Walt Disney Studios	Fantasy
Heart of the Sea	3/13/2015	0.978	0.326	Warner Bros.	Drama
Home	3/27/2015	29.82	9.94	Twentieth Century Fox Film Corporation	Animation
Insidious: Chapter 3	4/3/2015	33.953	11.31766667	Focus Features	Horror
The Longest Ride	4/3/2015	2.773	0.924333333	Twentieth Century Fox Film Corporation	Drama
Fast and Furious 7	4/10/2015	40.5	13.5	Universal Pictures	Action
Paul Blart: Mall Cop 2	4/17/2015	31.448	10.48266667	Sony Pictures Entertainment	Comedy
Avengers: Age of Ultron	5/1/2015	178.404	59.468	Walt Disney Studios	Action
Mean Moms	5/8/2015	17.762	5.920666667	Warner Bros.	Comedy
Pitch Perfect 2	5/15/2015	29.916	9.972	Universal Pictures	Comedy
Mad Max: Fury Road	5/15/2015	9.9	3.3	Warner Bros.	Action
